locality,locality_aka,state,country,iso3,continent,lat,lon
Castildelgado,[],,Spain,ESP,Europe,42.4372642,-3.0848612
Avesnes-sur-Helpe,[],,France,FRA,Europe,50.1218835,3.9321056
Caudebec-en-Caux,[],,France,FRA,Europe,49.525431,0.724747
Lège-Cap-Ferret,[Lege-Cap-Ferret],,France,FRA,Europe,44.7951052,-1.1472098
Kaysersberg-Vignoble,[],,France,FRA,Europe,48.13986,7.260772
Vesoul,[],,France,FRA,Europe,47.6197395,6.1544694
Onay,[],,France,FRA,Europe,47.3852097,5.6873556
Champtonnay,[],,France,FRA,Europe,47.3801192,5.6683891
Romazy,[],,France,FRA,Europe,48.3760497,-1.4976331
Vitry-le-François,[Vitry-le-Francois],,France,FRA,Europe,48.7261677,4.5851501
Chamousset,[],,France,FRA,Europe,45.5565,6.19925
Saint Vincent de Mercuze,[],,France,FRA,Europe,45.373,5.95104
Montrond-les-Bains,[],,France,FRA,Europe,45.6433431,4.2299344
Saint-Pierre,[Sankt Peter],,France,FRA,Europe,48.3832725,7.4718731
Epfig,[],,France,FRA,Europe,48.3597233,7.4638898
Mertzwiller,[],,France,FRA,Europe,48.8659947,7.6823034
Aubeterre-sur-Dronne,[Aubeterre],,France,FRA,Europe,45.2712672,0.1697803
Feuges,[],,France,FRA,Europe,48.3982496,4.109396
Vulaines,[],,France,FRA,Europe,48.23302,3.61952
Saint-Benoist-sur-Vanne,[],,France,FRA,Europe,48.23545,3.66938
Frenchpark,[],,Ireland,IRL,Europe,53.8694829,-8.407222
Carrick-On-Shannon,[Carrick on Shannon],,Ireland,IRL,Europe,53.9441461,-8.0952772
Castlebar,[],,Ireland,IRL,Europe,53.8568418,-9.297967
Swinford,[],,Ireland,IRL,Europe,53.9435164,-8.9498117
Rosslare,[],,Ireland,IRL,Europe,52.2735675,-6.3869031
Garristown,[],,Ireland,IRL,Europe,53.566876,-6.3836331
Ashbourne,[],,Ireland,IRL,Europe,53.5116146,-6.3981743
Cashel,[],,Ireland,IRL,Europe,52.5167478,-7.8879311
Bruck an der Leitha,[],,Austria,AUT,Europe,48.0255094,16.7790041
Kościelisko,[Koscielisko],,Poland,POL,Europe,49.2907179,19.8885727
Crowborough,[],,United Kingdom,GBR,Europe,51.0590028,0.1635863
Dalwhinnie,[],,United Kingdom,GBR,Europe,56.9351529,-4.2462331
Kenderes,[],,Hungary,HUN,Europe,47.2477469,20.6720305
Gödöllő,[Godollo],,Hungary,HUN,Europe,47.601529,19.3476981
Heiden,[],AR,Switzerland,CHE,Europe,47.4421715,9.532089
St. Gallen,[Saint Gallen],SG,Switzerland,CHE,Europe,47.425618,9.3762397
Pontresina,[],GR,Switzerland,CHE,Europe,46.489993,9.9042965
Nagykovácsi,[Nagykovacsi],,Hungary,HUN,Europe,47.5762363,18.882064
Budakeszi,[],,Hungary,HUN,Europe,47.5099444,18.929382
Union City,[],OK,United States,USA,North America,35.3917233,-97.9414364
Red Deer,[],AB,Canada,CAN,North America,52.2690628,-113.8141464
Snagov,[],,Romania,ROU,Europe,44.7074978,26.1728656
Lehliu Gară,[Lehliu Gara],,Romania,ROU,Europe,44.4398391,26.8515342
Lehliu,[],,Romania,ROU,Europe,44.4743719,26.8168523
Săpunari,[Sapunari],,Romania,ROU,Europe,44.500668,26.835822
Axintele,[],,Romania,ROU,Europe,44.612495,26.7614141
Märsta,[Marsta],,Sweden,SWE,Europe,59.6252383,17.8515672
Rosersberg,[],,Sweden,SWE,Europe,59.5778633,17.8853319
Smarhoń,"[Smarhon,Smorgon]",,Belarus,BLR,Europe,54.4817816,26.4012822
Krevo,[Kreva],,Belarus,BLR,Europe,54.4816321,26.3922797
Sokol,[],,Belarus,BLR,Europe,54.1334641,29.2143135
Smalyavichy,[Smolevichi],,Belarus,BLR,Europe,54.0299337,28.089752
Vileyka,[],,Belarus,BLR,Europe,54.4880686,26.9145229
