id,locality,locality_aka,state,country,iso3,videos,start_time,end_time,vehicle_type,upload_date,channel,time_of_day
4672,Bussum,[],,Netherlands,NLD,[7Zgu3gSAimw],"[[714],[1938]]","[[826],[3022]]","[0,0]","[20062022,14102025]","[UCcwGwvM5iPB9IvtTnMTVcEg,UCSXSCzMyK5RZ9j1HbO9Fubg]","[[0],[0]]"
5173,Consuegra,[],,Spain,ESP,"[OPG9W8YKtog,pRcBmESLF_E]","[[50],[39],[7607]]","[[580],[192],[7815]]","[0,0,0]","[9022021,2042026,30032026]","[UCg1sAFKjbgemJnIODXe_2BQ,UCeLzVekbovWzOg0TJfx_Xjw,UCeLzVekbovWzOg0TJfx_Xjw]","[[0],[0],[0]]"
5849,Durrës,[Durres],,Albania,ALB,[zTMMfIusKNw],"[[13175,26406],[1546],[0]]","[[15216,27497],[2231],[1733]]","[0,0,0]","[17042023,25062023,8092025]","[UCKDi3klSRgweF2ltY0AymSw,UCKDi3klSRgweF2ltY0AymSw,UCSXSCzMyK5RZ9j1HbO9Fubg]","[[0,0],[0],[0]]"
6012,Rainier,[],WA,United States,USA,[I87zfgybFeU],"[[7],[0]]","[[623],[1321]]","[0,5]","[31072024,22042026]","[UChv3DmLA2hH-d93bGgqjMLg,UCFo5rGajxTrpiwFhDdww6lw]","[[0],[0]]"
6021,Tukwila,[],WA,United States,USA,[z1nwZLiDQV4],"[[590],[0]]","[[1547],[1267]]","[0,0]","[1072024,18042026]","[UChv3DmLA2hH-d93bGgqjMLg,UCFo5rGajxTrpiwFhDdww6lw]","[[0],[0]]"
6087,Issaquah,[],WA,United States,USA,[96pFZxKGoXA],"[[50],[0]]","[[1600],[1173]]","[0,5]","[24012023,16052026]","[UChv3DmLA2hH-d93bGgqjMLg,UCFo5rGajxTrpiwFhDdww6lw]","[[0],[0]]"
6095,Coronado,[],CA,United States,USA,[4GnS6oXtgPg],"[[30],[41]]","[[1568],[2484]]","[0,0]","[3112022,19112022]","[UChv3DmLA2hH-d93bGgqjMLg,UCkptqe5qMgYLy3GIf3c3eiw]","[[0],[0]]"
6156,Kirkland,[],WA,United States,USA,"[OLQlAVMW4EU,ApgiJQR1omk]","[[12],[0],[0]]","[[1443],[969],[1929]]","[0,5,5]","[9122021,30042026,30042026]","[UChv3DmLA2hH-d93bGgqjMLg,UCFo5rGajxTrpiwFhDdww6lw,UCFo5rGajxTrpiwFhDdww6lw]","[[0],[0],[0]]"
6163,Everett,[],WA,United States,USA,[H17mV9uf6uY],"[[5],[0]]","[[1122],[431]]","[0,5]","[18112021,24062026]","[UChv3DmLA2hH-d93bGgqjMLg,UCFo5rGajxTrpiwFhDdww6lw]","[[0],[0]]"
6178,Renton,[],WA,United States,USA,"[JNdip6_puVM,VhJUUNrXgKo,62G1qCJeRlA]","[[10],[0],[0],[0]]","[[1764],[1624],[643],[2560]]","[0,0,0,5]","[31082021,6042026,19042026,19042026]","[UChv3DmLA2hH-d93bGgqjMLg,UCFo5rGajxTrpiwFhDdww6lw,UCFo5rGajxTrpiwFhDdww6lw,UCFo5rGajxTrpiwFhDdww6lw]","[[0],[0],[0],[0]]"
7111,Kastamonu,[],,Türkiye,TUR,[8_-RDq2OJaE],"[[0],[6157]]","[[1596],[6544]]","[0,0]","[28042023,26042023]","[UCanVy2-8xxmgVWt7cBBSXjg,UCanVy2-8xxmgVWt7cBBSXjg]","[[0],[0]]"
7901,Marinilla,[],,Colombia,COL,[MIUKOokidds],"[[37098,38827],[513],[915]]","[[38761,39746],[1590],[1481]]","[0,0,0]","[16012024,20012024,22082025]","[UCSMCv9FDp2R9_p1e0k61KwQ,UCSMCv9FDp2R9_p1e0k61KwQ,UCiBD9WJFDe7dGQNa_KRdHug]","[[0,1],[0],[0]]"
7998,Spetses,[],,Greece,GRC,"[-ZI0b2yT6Do,sgowVpAhy_w]","[[0],[0],[0]]","[[1025],[1601],[1124]]","[4,4,4]","[20052026,19052026,18052026]","[UCSXSCzMyK5RZ9j1HbO9Fubg,UCSXSCzMyK5RZ9j1HbO9Fubg,UCSXSCzMyK5RZ9j1HbO9Fubg]","[[0],[0],[0]]"
8000,Voorschoten,[],,Netherlands,NLD,"[4kQOgd_37do,gT4kjNYY9lc]","[[0],[1207]]","[[701],[1713]]","[0,4]","[27032026,26032026]","[UCSXSCzMyK5RZ9j1HbO9Fubg,UCSXSCzMyK5RZ9j1HbO9Fubg]","[[0],[0]]"
8001,Westmaas,[],,Netherlands,NLD,[rzHk0MM_aXA],[[3042]],[[3086]],[0],[19022026],[UCSXSCzMyK5RZ9j1HbO9Fubg],[[0]]
8002,Laren,[],,Netherlands,NLD,[7Zgu3gSAimw],[[0]],[[1842]],[0],[14102025],[UCSXSCzMyK5RZ9j1HbO9Fubg],[[0]]
