id_1,locality_1,country_1,lat_1,lon_1,id_2,locality_2,country_2,lat_2,lon_2,distance_km
61,Can Tho,Vietnam,15.8786801,108.3287826,3046,Hoi An,Vietnam,15.879121,108.331371,0.281
65,Minsk,Belarus,53.9024716,27.5618225,7808,Svisloch',Belarus,53.912258,27.5559617,1.154
181,San Marino,San Marino,43.941294,12.446659,926,Domagnano,San Marino,43.9475027,12.4690616,1.922
181,San Marino,San Marino,43.941294,12.446659,927,Cailungo,San Marino,43.9486486,12.451808,0.916
369,Maryina Horka,Belarus,53.5117288,28.1477541,7796,Pukhovichi,Belarus,53.5099818,28.1427136,0.386
453,Qonayev,Kazakhstan,42.8922794,71.3686766,463,Taraz,Kazakhstan,42.9015945,71.3769302,1.235
622,St. George's,Bermuda,32.3810447,-64.676717,623,St. David's,Bermuda,32.368798,-64.668956,1.545
658,Castries,Saint Lucia,14.010862,-60.986143,661,Morne Fortune,Saint Lucia,14.000035,-60.995753,1.589
666,Belmont,Saint Vincent and the Grenadines,13.1652583,-61.1813765,667,Enhams,Saint Vincent and the Grenadines,13.150657,-61.1788635,1.646
667,Enhams,Saint Vincent and the Grenadines,13.150657,-61.1788635,673,Diamond Village,Saint Vincent and the Grenadines,13.1406651,-61.1682917,1.595
671,Brighton,Saint Vincent and the Grenadines,13.1299959,-61.1749086,673,Diamond Village,Saint Vincent and the Grenadines,13.1406651,-61.1682917,1.386
683,Pelican Key,Sint Maarten,18.028465,-63.0922417,686,Simpson Bay,Sint Maarten,18.0396777,-63.0972367,1.354
685,Marigot,Saint Martin,18.0668544,-63.0848869,688,Sandy Ground,Saint Martin,18.0580902,-63.1000249,1.874
685,Marigot,Saint Martin,18.0668544,-63.0848869,691,Agrément,Saint Martin,18.0756059,-63.0779855,1.216
689,Orient Bay,Saint Martin,18.0903897,-63.0221692,690,Mont Vernon,Saint Martin,18.0989113,-63.0291011,1.198
696,Nanny Cay,British Virgin Islands,18.4002271,-64.6346653,697,Hannah,British Virgin Islands,18.4018877,-64.637424,0.345
700,East End,British Virgin Islands,18.4411609,-64.5569031,704,Parham Town,British Virgin Islands,18.438488,-64.5710391,1.52
728,Tafuna,American Samoa,-14.3278269,-170.7255437,735,Nuʻuuli,American Samoa,-14.314205,-170.719463,1.65
731,Anua,American Samoa,-14.2689202,-170.6880367,733,Pago Pago,American Samoa,-14.2754786,-170.7048298,1.951
731,Anua,American Samoa,-14.2689202,-170.6880367,734,Leloaloa,American Samoa,-14.267336,-170.678958,0.994
742,Maharepa,French Polynesia,-17.4853081,-149.7987512,749,Paraoro,French Polynesia,-17.481292,-149.8056875,0.861
776,Humåtak,Guam,13.4501175,144.7577088,777,Malesso',Guam,13.4501175,144.7577088,0.0
785,Ronave,Nauru,-0.5042058,166.9400235,786,Baitsi,Nauru,-0.510475,166.9273521,1.572
785,Ronave,Nauru,-0.5042058,166.9400235,792,Anabar,Nauru,-0.5112055,166.9543708,1.775
786,Baitsi,Nauru,-0.510475,166.9273521,787,Nibok,Nauru,-0.5196575,166.919255,1.361
787,Nibok,Nauru,-0.5196575,166.919255,788,Arijejen,Nauru,-0.5241772,166.9134151,0.821
787,Nibok,Nauru,-0.5196575,166.919255,789,Yangor,Nauru,-0.5344235,166.9119407,1.832
788,Arijejen,Nauru,-0.5241772,166.9134151,789,Yangor,Nauru,-0.5344235,166.9119407,1.151
788,Arijejen,Nauru,-0.5241772,166.9134151,790,Boe,Nauru,-0.5384865,166.9110122,1.613
789,Yangor,Nauru,-0.5344235,166.9119407,790,Boe,Nauru,-0.5384865,166.9110122,0.463
789,Yangor,Nauru,-0.5344235,166.9119407,791,Yaren,Nauru,-0.5453472,166.9154553,1.276
790,Boe,Nauru,-0.5384865,166.9110122,791,Yaren,Nauru,-0.5453472,166.9154553,0.909
792,Anabar,Nauru,-0.5112055,166.9543708,794,Ijuw,Nauru,-0.5201368,166.9572252,1.043
794,Ijuw,Nauru,-0.5201368,166.9572252,795,Anibare,Nauru,-0.5293963,166.9513535,1.219
816,St Ouen's Village,Jersey,49.232912,-2.202505,817,St Mary's Village,Jersey,49.2352338,-2.1754769,1.979
819,Maufant,Jersey,49.2097903,-2.0632148,820,St Martin's Village,Jersey,49.2186534,-2.0545061,1.171
824,St Andrew,Guernsey,49.4499006,-2.5688225,828,St Martin,Guernsey,49.4622912,-2.5812023,1.643
825,Les Capelles,Guernsey,49.4828148,-2.551225,826,St Sampson,Guernsey,49.481727,-2.538839,0.903
825,Les Capelles,Guernsey,49.4828148,-2.551225,827,L'Islet,Guernsey,49.4882778,-2.5476244,0.661
826,St Sampson,Guernsey,49.481727,-2.538839,827,L'Islet,Guernsey,49.4882778,-2.5476244,0.966
828,St Martin,Guernsey,49.4622912,-2.5812023,829,Le Villocq,Guernsey,49.468959,-2.572972,0.951
828,St Martin,Guernsey,49.4622912,-2.5812023,830,Cobo,Guernsey,49.478413,-2.58927,1.885
829,Le Villocq,Guernsey,49.468959,-2.572972,830,Cobo,Guernsey,49.478413,-2.58927,1.579
841,Runavik,Faroe Islands,62.1083979,-6.7216674,842,Saltangará,Faroe Islands,62.1189157,-6.7202052,1.172
843,Lambareidi,Faroe Islands,62.1427717,-6.7315819,844,Soldarfjordur,Faroe Islands,62.1575065,-6.7525633,1.968
854,Naxxar,Malta,35.9133396,14.4432851,877,Mosta,Malta,35.9079178,14.4241508,1.826
856,Zabbar,Malta,35.8753368,14.5374788,864,Birgu,Malta,35.8881119,14.5238445,1.878
858,Valletta,Malta,35.8989979,14.5136607,864,Birgu,Malta,35.8881119,14.5238445,1.519
858,Valletta,Malta,35.8989979,14.5136607,879,Gżira,Malta,35.9077803,14.4961247,1.857
858,Valletta,Malta,35.8989979,14.5136607,880,Sliema,Malta,35.9127609,14.5020708,1.852
860,Żejtun,Malta,35.8537008,14.5315311,882,Marsaxlokk,Malta,35.8417662,14.5448353,1.789
870,St Paul's Bay,Malta,35.9480742,14.3973929,5208,Bugibba,Malta,35.9483211,14.4105059,1.181
874,Mqabba,Malta,35.8456802,14.4666263,875,Żurrieq,Malta,35.8294676,14.4745172,1.938
879,Gżira,Malta,35.9077803,14.4961247,880,Sliema,Malta,35.9127609,14.5020708,0.77
879,Gżira,Malta,35.9077803,14.4961247,881,St Julian's,Malta,35.9199225,14.4877119,1.548
880,Sliema,Malta,35.9127609,14.5020708,881,St Julian's,Malta,35.9199225,14.4877119,1.519
885,El Tarter,Andorra,42.5803334,1.6496963,886,Soldeu,Andorra,42.5768944,1.6682694,1.568
900,Triesen,Liechtenstein,47.106705,9.525831,920,Triesenberg,Liechtenstein,47.1186181,9.5433663,1.875
902,Nendeln,Liechtenstein,47.1973842,9.5430689,909,Planken,Liechtenstein,47.1858848,9.5452211,1.289
904,Vaduz,Liechtenstein,47.1392862,9.5227962,921,Masescha,Liechtenstein,47.132505,9.5434979,1.738
905,Eschen,Liechtenstein,47.2126274,9.5233202,906,Bendern,Liechtenstein,47.2122144,9.5062136,1.293
905,Eschen,Liechtenstein,47.2126274,9.5233202,922,Mauren,Liechtenstein,47.2196512,9.5418065,1.6
906,Bendern,Liechtenstein,47.2122144,9.5062136,907,Haag,Switzerland,47.2121059,9.4916597,1.099
911,Ludesch,Austria,47.1954575,9.7826125,912,Thüringen,Austria,47.2,9.7666667,1.306
912,Thüringen,Austria,47.2,9.7666667,913,Bludesch,Austria,47.1995763,9.7464679,1.527
920,Triesenberg,Liechtenstein,47.1186181,9.5433663,921,Masescha,Liechtenstein,47.132505,9.5434979,1.544
922,Mauren,Liechtenstein,47.2196512,9.5418065,923,Schellenberg,Liechtenstein,47.2312022,9.5458021,1.319
923,Schellenberg,Liechtenstein,47.2312022,9.5458021,924,Ruggell,Liechtenstein,47.2397575,9.5262871,1.754
926,Domagnano,San Marino,43.9475027,12.4690616,927,Cailungo,San Marino,43.9486486,12.451808,1.387
998,Dembeni,Mayotte,-12.8433081,45.1839954,999,Combani,Mayotte,-12.844691,45.186348,0.298
1070,Ntharene,Kenya,-0.1146929,37.6745136,1071,Kanyakine,Kenya,-0.1230336,37.6715366,0.985
1075,Ena,Kenya,-0.4709408,37.5578958,1091,Gikuuri,Kenya,-0.4534086,37.5598865,1.962
1104,Namanga,Tanzania,-2.5518766,36.7838879,1105,Namanga,Kenya,-2.546715,36.7974379,1.611
1158,Faro,Portugal,37.0162727,-7.9351771,1642,Algarve,Portugal,37.017905,-7.932068,0.33
1238,Jendema,Sierra Leone,7.0222994,-11.3841413,1243,Bo Waterside,Liberia,7.0121225,-11.3744745,1.555
